epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,112.57,1.30395,0.86004,0.97844,0.7971,0.79365,0.88771,0.58343,1.2727,0.83858,0.98663,0.00183764,0.00183764,0.00183764
43,115.185,1.35425,0.83793,0.98014,0.83093,0.87302,0.89094,0.58675,1.27091,0.85656,0.9679,0.00183368,0.00183368,0.00183368
44,117.895,1.30246,0.86476,0.98897,0.76791,0.80952,0.86561,0.53781,1.36103,0.86902,1.00621,0.00182972,0.00182972,0.00182972
45,120.506,1.26295,0.83839,0.97632,0.73788,0.73016,0.84673,0.50401,1.3773,0.93966,1.01774,0.00182576,0.00182576,0.00182576
46,123.125,1.27388,0.87871,0.97855,0.83558,0.80952,0.9068,0.59103,1.22582,0.80237,0.95801,0.0018218,0.0018218,0.0018218
47,125.825,1.29544,0.86242,0.96711,0.92063,0.73653,0.88957,0.59813,1.24491,0.83297,0.95632,0.00181784,0.00181784,0.00181784
48,128.515,1.26142,0.81154,0.99072,0.78695,0.80952,0.88521,0.58184,1.28494,0.88803,0.97587,0.00181388,0.00181388,0.00181388
49,131.144,1.27506,0.81061,0.98122,0.77924,0.84127,0.88334,0.58921,1.23799,0.83123,0.95394,0.00180992,0.00180992,0.00180992
50,133.767,1.29762,0.84943,0.98587,0.86482,0.81241,0.91243,0.59942,1.21643,0.84336,0.95391,0.00180596,0.00180596,0.00180596
51,136.458,1.31928,0.8073,0.96353,0.85461,0.85714,0.91623,0.63533,1.19003,0.84582,0.93469,0.001802,0.001802,0.001802
52,139.153,1.3068,0.83944,0.99165,0.89496,0.80952,0.90228,0.59509,1.30951,0.78892,0.96814,0.00179804,0.00179804,0.00179804
53,141.771,1.28602,0.81021,0.98711,0.83754,0.81838,0.90302,0.59602,1.29183,0.84218,0.98147,0.00179408,0.00179408,0.00179408
54,144.388,1.31913,0.81509,0.99226,0.79164,0.84127,0.89601,0.61461,1.21343,0.79124,0.95318,0.00179012,0.00179012,0.00179012
55,147.022,1.23851,0.76988,0.96285,0.8952,0.77778,0.89386,0.58261,1.2325,0.79294,0.96324,0.00178616,0.00178616,0.00178616
56,149.653,1.34937,0.86237,0.96816,0.82922,0.8254,0.89067,0.57794,1.21505,0.79107,0.95867,0.0017822,0.0017822,0.0017822
57,152.277,1.25907,0.80049,0.97978,0.77705,0.84127,0.87075,0.5652,1.2856,0.82455,0.97318,0.00177824,0.00177824,0.00177824
58,154.905,1.21344,0.76885,0.97278,0.84488,0.79365,0.89981,0.59032,1.25648,0.85567,0.96808,0.00177428,0.00177428,0.00177428
59,157.541,1.22606,0.80301,0.96239,0.81051,0.85714,0.89813,0.6323,1.14936,0.8289,0.94099,0.00177032,0.00177032,0.00177032
60,160.198,1.26696,0.78074,0.96264,0.75174,0.85714,0.87084,0.5948,1.20643,0.80109,0.95276,0.00176636,0.00176636,0.00176636
61,162.837,1.25728,0.78827,0.98459,0.78463,0.84127,0.89674,0.61742,1.20846,0.80588,0.94811,0.0017624,0.0017624,0.0017624
62,165.459,1.2033,0.76319,0.9546,0.74343,0.87388,0.90302,0.63215,1.19112,0.76652,0.94167,0.00175844,0.00175844,0.00175844
63,168.109,1.24043,0.73486,0.94358,0.81651,0.92063,0.91228,0.63718,1.20745,0.73754,0.95361,0.00175448,0.00175448,0.00175448
64,170.812,1.26703,0.7731,0.96891,0.84383,0.87302,0.91915,0.67777,1.09676,0.75675,0.91466,0.00175052,0.00175052,0.00175052
65,173.514,1.24298,0.78566,0.93577,0.8671,0.84127,0.91064,0.64948,1.15978,0.76468,0.93195,0.00174656,0.00174656,0.00174656
66,176.143,1.20998,0.74897,0.93966,0.87884,0.80597,0.91619,0.63359,1.19111,0.73208,0.93425,0.0017426,0.0017426,0.0017426
67,178.76,1.22259,0.7525,0.93375,0.79583,0.84127,0.89155,0.63278,1.14759,0.76873,0.91279,0.00173864,0.00173864,0.00173864
68,181.392,1.15408,0.69485,0.91678,0.93895,0.7619,0.90784,0.63307,1.19264,0.73798,0.94556,0.00173468,0.00173468,0.00173468
69,184.013,1.18122,0.71069,0.92829,0.90875,0.8254,0.9218,0.66381,1.11975,0.70669,0.92385,0.00173072,0.00173072,0.00173072
70,186.637,1.21134,0.74515,0.95434,0.81803,0.85628,0.90253,0.60738,1.20504,0.76976,0.94587,0.00172676,0.00172676,0.00172676
71,189.269,1.14299,0.68755,0.92872,0.84945,0.88889,0.92176,0.62017,1.21393,0.7638,0.95818,0.0017228,0.0017228,0.0017228
72,191.89,1.18161,0.74515,0.93926,0.88088,0.84127,0.9093,0.60738,1.24349,0.7718,0.96318,0.00171884,0.00171884,0.00171884
73,194.525,1.1607,0.68178,0.94954,0.89059,0.92063,0.92651,0.6292,1.17441,0.90009,0.92762,0.00171488,0.00171488,0.00171488
74,197.149,1.19955,0.78945,0.94926,0.88899,0.8898,0.90636,0.61521,1.16313,0.83307,0.92673,0.00171092,0.00171092,0.00171092
75,199.77,1.18627,0.75005,0.93183,0.85573,0.8254,0.88663,0.60616,1.19007,0.80317,0.93897,0.00170696,0.00170696,0.00170696
76,202.403,1.18382,0.7281,0.95973,0.88247,0.90476,0.91411,0.63144,1.16413,0.7159,0.9259,0.001703,0.001703,0.001703
77,205.027,1.176,0.741,0.93214,0.88604,0.87302,0.9126,0.62663,1.15053,0.74239,0.92973,0.00169904,0.00169904,0.00169904
78,207.656,1.16899,0.73389,0.93728,0.83315,0.87186,0.88942,0.61961,1.14893,0.77015,0.93682,0.00169508,0.00169508,0.00169508
79,210.295,1.15991,0.69427,0.92711,0.73778,0.8254,0.84832,0.57409,1.21993,0.84363,0.94948,0.00169112,0.00169112,0.00169112
80,212.931,1.13786,0.72433,0.93021,0.82038,0.77778,0.87578,0.59444,1.22616,0.82179,0.94834,0.00168716,0.00168716,0.00168716
81,215.598,1.11251,0.6831,0.92308,0.92148,0.7619,0.90378,0.60245,1.17925,0.76378,0.94518,0.0016832,0.0016832,0.0016832
82,218.265,1.12049,0.67269,0.92974,0.91862,0.80952,0.91628,0.6482,1.17433,0.73614,0.94389,0.00167924,0.00167924,0.00167924
83,220.918,1.17703,0.71152,0.94037,0.92721,0.80878,0.91021,0.63414,1.17157,0.77776,0.94868,0.00167528,0.00167528,0.00167528
84,223.565,1.13312,0.68926,0.91322,0.80444,0.8254,0.87375,0.60651,1.22259,0.79862,0.94856,0.00167132,0.00167132,0.00167132
85,226.214,1.12329,0.65624,0.91975,0.82109,0.80952,0.87603,0.60769,1.18426,0.75623,0.94799,0.00166736,0.00166736,0.00166736
86,228.855,1.17223,0.70953,0.90529,0.83227,0.85714,0.9006,0.64831,1.11202,0.71304,0.92909,0.0016634,0.0016634,0.0016634
87,231.49,1.16084,0.71562,0.95341,0.89673,0.85714,0.9247,0.65965,1.15496,0.72199,0.94173,0.00165944,0.00165944,0.00165944
88,234.12,1.16543,0.665,0.92656,0.91118,0.84127,0.91821,0.6376,1.19883,0.73628,0.95527,0.00165548,0.00165548,0.00165548
89,236.757,1.13537,0.63839,0.92824,0.87547,0.88889,0.92151,0.66603,1.13896,0.73471,0.93167,0.00165152,0.00165152,0.00165152
90,239.394,1.20028,0.71439,0.94117,0.92088,0.8254,0.90908,0.61803,1.2343,0.78396,0.95925,0.00164756,0.00164756,0.00164756
