epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0862,6.80044,11.6476,4.3456,0,0,0,0,6.99941,7.1867,4.16322,0.0001,0.0001,0.0001
2,41.6413,6.61089,7.87143,4.09674,0,0,0,0,7.00043,7.21732,4.17241,0.000215644,0.000215644,0.000215644
3,61.8626,5.65853,5.76035,3.60318,0,0,0,0,7.00237,7.26624,4.18983,0.000326536,0.000326536,0.000326536
4,82.4604,4.86003,3.9489,3.2414,0,0,0,0,7.00573,7.3492,4.21781,0.000432676,0.000432676,0.000432676
5,102.912,4.0683,3.29031,3.01043,0,0,0,0,7.0108,7.46738,4.25787,0.000534064,0.000534064,0.000534064
6,123.384,3.9101,3.00241,2.67746,0,0,0,0,7.0172,7.61819,4.30772,0.0006307,0.0006307,0.0006307
7,143.538,3.74649,2.70088,2.47152,0,0,0,0,7.02509,7.7962,4.36864,0.000722584,0.000722584,0.000722584
8,163.985,3.6174,2.49735,2.22525,0,0,0,0,7.03494,8.02799,4.4482,0.000809716,0.000809716,0.000809716
9,184.458,3.46085,2.34319,2.05527,0,0,0,0,7.0442,8.04671,4.52073,0.000892096,0.000892096,0.000892096
10,204.87,3.26358,2.17625,1.94592,0,0,0,0,7.04793,7.92374,4.5495,0.000969724,0.000969724,0.000969724
11,225.244,3.29663,1.99369,1.88938,0,0,0,0,7.05216,8.04099,4.58909,0.0010426,0.0010426,0.0010426
12,245.372,3.13282,1.93916,1.7739,0,0,0,0,7.05554,8.05164,4.6157,0.00111072,0.00111072,0.00111072
13,265.97,3.06545,2.0044,1.76411,0,0,0,0,7.05771,8.22193,4.6344,0.0011741,0.0011741,0.0011741
14,286.274,2.98022,1.78887,1.66323,0,0,0,0,7.05406,8.15377,4.6006,0.00123272,0.00123272,0.00123272
15,306.473,2.7684,1.73973,1.66254,0,0,0,0,7.05425,8.11242,4.60553,0.00128658,0.00128658,0.00128658
16,326.77,2.83287,1.68959,1.65345,0,0,0,0,7.05027,7.98132,4.57926,0.0013357,0.0013357,0.0013357
17,347.046,2.72132,1.56686,1.48971,0,0,0,0,7.03853,7.67995,4.48795,0.0013664,0.0013664,0.0013664
18,367.128,2.66228,1.66765,1.55791,0.00066,0.01961,0.01533,0.00663,6.23795,6.24682,3.69574,0.0013268,0.0013268,0.0013268
19,387.732,2.68274,1.5282,1.5457,0.69084,0.07843,0.10013,0.04605,4.19284,3.89193,2.5668,0.0012872,0.0012872,0.0012872
20,408.134,2.65128,1.48038,1.55541,0.86486,0.251,0.28005,0.08522,3.31001,2.17925,1.96671,0.0012476,0.0012476,0.0012476
21,428.438,2.4998,1.41415,1.50368,0.77116,0.26434,0.27587,0.07226,3.3874,1.9754,1.94498,0.001208,0.001208,0.001208
22,448.768,2.52136,1.51595,1.49223,0.7535,0.31968,0.31356,0.08246,3.14701,1.56,1.80354,0.0011684,0.0011684,0.0011684
23,468.792,2.49856,1.4496,1.45876,0.71251,0.2916,0.25531,0.06268,3.34656,1.5582,1.83095,0.0011288,0.0011288,0.0011288
24,489.248,2.62313,1.43103,1.47034,0.93637,0.35948,0.40974,0.13471,2.89402,1.46995,1.64786,0.0010892,0.0010892,0.0010892
25,509.599,2.43482,1.38849,1.44513,0.92783,0.35948,0.43859,0.15262,2.75224,1.45278,1.61542,0.0010496,0.0010496,0.0010496
26,529.823,2.46565,1.36106,1.421,0.57467,0.34641,0.30113,0.06849,3.16121,1.47751,1.75415,0.00101,0.00101,0.00101
27,549.925,2.58168,1.44258,1.44713,0.63146,0.41176,0.40688,0.10142,2.97829,1.43143,1.68169,0.0009704,0.0009704,0.0009704
28,569.901,2.38792,1.32232,1.42177,0.78228,0.50327,0.61128,0.21484,2.48769,1.39955,1.55732,0.0009308,0.0009308,0.0009308
29,589.98,2.41559,1.27226,1.33076,0.80073,0.53595,0.69148,0.25643,2.32489,1.36563,1.52445,0.0008912,0.0008912,0.0008912
30,610.287,2.36286,1.29053,1.39865,0.77852,0.69281,0.81886,0.31881,2.15229,1.20055,1.42285,0.0008516,0.0008516,0.0008516
31,630.44,2.33354,1.25681,1.34133,0.76432,0.78428,0.83329,0.33325,2.14016,1.14645,1.39717,0.000812,0.000812,0.000812
32,650.631,2.2917,1.34325,1.39934,0.82987,0.76514,0.88042,0.37914,2.02078,1.10026,1.34591,0.0007724,0.0007724,0.0007724
33,670.974,2.2583,1.27349,1.43571,0.76582,0.77124,0.80925,0.27578,2.33043,1.15181,1.4373,0.0007328,0.0007328,0.0007328
34,691.333,2.38894,1.31188,1.4491,0.80694,0.76493,0.81832,0.25602,2.4204,1.19372,1.46569,0.0006932,0.0006932,0.0006932
35,711.831,2.34691,1.28001,1.3927,0.85751,0.78667,0.88884,0.36895,2.07305,1.17013,1.36386,0.0006536,0.0006536,0.0006536
36,732.808,2.2401,1.24167,1.34836,0.87151,0.75368,0.86183,0.32382,2.16289,1.22641,1.39268,0.000614,0.000614,0.000614
37,752.983,2.22838,1.20656,1.32716,0.85153,0.74973,0.86315,0.32814,2.1327,1.18458,1.37607,0.0005744,0.0005744,0.0005744
38,773.336,2.20493,1.20253,1.33831,0.84604,0.83007,0.89663,0.3976,1.99979,1.13844,1.33176,0.0005348,0.0005348,0.0005348
39,793.611,2.20607,1.2362,1.32608,0.85044,0.83007,0.91024,0.39898,2.04505,1.13062,1.33733,0.0004952,0.0004952,0.0004952
40,813.938,2.21141,1.19944,1.33743,0.92948,0.7753,0.92529,0.42126,1.9875,1.07298,1.30835,0.0004556,0.0004556,0.0004556
41,833.978,2.17353,1.39192,1.41996,0.91635,0.78431,0.91836,0.43213,1.98698,1.0641,1.30251,0.000416,0.000416,0.000416
42,853.771,2.16849,1.38286,1.4683,0.8633,0.80392,0.87775,0.31212,2.23928,1.10511,1.37739,0.0003764,0.0003764,0.0003764
43,873.939,2.12499,1.32081,1.36638,0.85449,0.80602,0.85671,0.28046,2.34066,1.14057,1.41611,0.0003368,0.0003368,0.0003368
44,894.065,2.18314,1.28206,1.37119,0.90386,0.79886,0.89484,0.37555,2.01551,1.07651,1.30528,0.0002972,0.0002972,0.0002972
45,913.985,2.13772,1.31447,1.41011,0.88113,0.81699,0.92801,0.43945,1.90089,1.06114,1.26356,0.0002576,0.0002576,0.0002576
46,933.929,2.10017,1.2758,1.41199,0.86837,0.84314,0.92679,0.43629,1.93517,1.05703,1.27431,0.000218,0.000218,0.000218
47,954.035,2.1598,1.31824,1.34137,0.88384,0.84546,0.93419,0.4459,1.9087,1.04275,1.2647,0.0001784,0.0001784,0.0001784
48,974.026,2.11013,1.25111,1.33131,0.89677,0.85165,0.93849,0.45773,1.89313,1.03243,1.25733,0.0001388,0.0001388,0.0001388
49,993.897,2.0562,1.21447,1.31134,0.90368,0.85854,0.94037,0.45532,1.88594,1.02475,1.25499,9.92e-05,9.92e-05,9.92e-05
50,1013.76,2.10547,1.26199,1.4209,0.931,0.84967,0.94612,0.45259,1.87376,1.01578,1.25107,5.96e-05,5.96e-05,5.96e-05
