1792.6588871000001, [-7081.4140625, -4746.9140625, -6694.1259765625, -7167.14892578125, -8597.087890625, -14310.4091796875, -7713.794921875, -15423.7275390625]
1792.6608871, [-7048.75, -4713.48779296875, -6661.08203125, -7133.6748046875, -8563.8525390625, -14276.552734375, -7680.84619140625, -15391.4462890625]
1792.6628871000003, [-7000.5419921875, -4665.18408203125, -6613.30322265625, -7085.6572265625, -8515.4541015625, -14227.009765625, -7632.2080078125, -15340.8056640625]
1792.6648871000002, [-7008.60107421875, -4673.2900390625, -6619.7880859375, -7093.14404296875, -8522.98828125, -14234.5439453125, -7639.4091796875, -15348.3876953125]
1792.6668871000002, [-7018.56591796875, -4683.78076171875, -6629.80078125, -7103.1572265625, -8534.09765625, -14244.4619140625, -7649.80419921875, -15360.166015625]
1792.6688871000001, [-7072.06787109375, -4737.56787109375, -6684.8759765625, -7157.85107421875, -8588.076171875, -14300.728515625, -7703.11376953125, -15414.3349609375]
1792.6708871, [-7103.9677734375, -4769.51611328125, -6716.77587890625, -7188.416015625, -8618.640625, -14332.056640625, -7733.82177734375, -15445.853515625]
1792.6728871, [-7125.9501953125, -4791.68896484375, -6738.0908203125, -7210.77978515625, -8641.5771484375, -14354.0390625, -7756.04296875, -15468.4560546875]
1792.6748871, [-7096.38623046875, -4762.93603515625, -6708.9560546875, -7182.7890625, -8611.8232421875, -14325.6201171875, -7728.14794921875, -15439.4638671875]
1792.6768871, [-7072.06787109375, -4736.80517578125, -6684.39892578125, -7157.27783203125, -8585.6435546875, -14299.5849609375, -7702.77978515625, -15413.8095703125]
1792.6788871, [-7020.42578125, -4684.830078125, -6632.85302734375, -7104.39697265625, -8534.48046875, -14247.4658203125, -7649.7080078125, -15362.1689453125]
1792.6808871, [-7013.27392578125, -4678.43994140625, -6625.98583984375, -7098.0078125, -8529.3779296875, -14241.0771484375, -7644.89208984375, -15356.63671875]
1792.6828871000002, [-7011.7001953125, -4675.81787109375, -6624.126953125, -7096.72021484375, -8528.1845703125, -14238.4541015625, -7643.3662109375, -15353.7763671875]
1792.6848871000002, [-7058.47802734375, -4722.5, -6670.28515625, -7143.7841796875, -8574.2001953125, -14285.56640625, -7689.3330078125, -15400.125]
1792.6868871000001, [-7094.908203125, -4760.93310546875, -6708.669921875, -7181.2158203125, -8610.201171875, -14323.9033203125, -7726.85986328125, -15437.794921875]
1792.6888871, [-7124.7578125, -4790.40185546875, -6738.615234375, -7211.1611328125, -8640.6708984375, -14354.0390625, -7756.7578125, -15467.978515625]
1792.6908871, [-7108.73583984375, -4773.47412109375, -6721.8310546875, -7193.85205078125, -8624.0302734375, -14338.1611328125, -7740.68896484375, -15451.48046875]
1792.6928871, [-7089.56787109375, -4755.40185546875, -6702.3759765625, -7174.826171875, -8604.478515625, -14318.5634765625, -7721.47216796875, -15431.9775390625]
1792.6948871, [-7027.005859375, -4691.41015625, -6638.86083984375, -7111.97900390625, -8541.1552734375, -14254.857421875, -7658.5771484375, -15368.4150390625]
1792.6968871000001, [-7006.7412109375, -4671.19189453125, -6619.4541015625, -7093.52490234375, -8520.4609375, -14233.685546875, -7638.0732421875, -15348.673828125]
1792.6988871, [-7004.1181640625, -4669.9521484375, -6617.5458984375, -7090.42578125, -8518.6494140625, -14231.158203125, -7635.2119140625, -15346.00390625]
1792.7008871, [-7043.076171875, -4708.6240234375, -6655.93212890625, -7128.9072265625, -8556.556640625, -14270.4501953125, -7674.64697265625, -15384.0556640625]
1792.7028871000002, [-7071.8291015625, -4737.4248046875, -6684.494140625, -7158.23193359375, -8586.7412109375, -14300.205078125, -7703.73388671875, -15414.0009765625]
1792.7048871000002, [-7113.5048828125, -4779.291015625, -6726.36083984375, -7198.66796875, -8627.9404296875, -14342.357421875, -7745.02783203125, -15456.7734375]
1792.7068871000001, [-7100.2490234375, -4764.98583984375, -6712.38916015625, -7184.69677734375, -8613.873046875, -14327.5751953125, -7731.72412109375, -15442.23046875]
1792.7088871, [-7085.22802734375, -4748.2490234375, -6697.17822265625, -7169.43798828125, -8598.423828125, -14311.6962890625, -7716.51318359375, -15426.732421875]
1792.7108871, [-7034.8271484375, -4699.6591796875, -6649.01806640625, -7120.27587890625, -8550.2626953125, -14263.392578125, -7667.30322265625, -15377.09375]
1792.7128871, [-7010.5078125, -4676.77099609375, -6624.27001953125, -7096.38623046875, -8527.56640625, -14239.0263671875, -7644.12890625, -15352.6796875]
1792.7148871, [-6998.158203125, -4663.466796875, -6611.8720703125, -7084.083984375, -8515.16796875, -14226.533203125, -7631.20703125, -15339.662109375]
1792.7168871000001, [-7032.490234375, -4697.60888671875, -6645.537109375, -7118.08203125, -8549.26171875, -14260.865234375, -7664.966796875, -15374.8046875]
1792.7188871, [-7058.66796875, -4723.26318359375, -6671.0, -7143.30712890625, -8573.580078125, -14286.2333984375, -7691.2412109375, -15400.5537109375]
1792.7208871000003, [-7099.67578125, -4764.8427734375, -6713.0087890625, -7183.4091796875, -8613.9208984375, -14328.71875, -7731.77197265625, -15442.0869140625]
1792.7228871000002, [-7086.9931640625, -4753.9228515625, -6700.89794921875, -7173.5390625, -8603.6689453125, -14317.037109375, -7720.23193359375, -15431.8349609375]
1792.7248871000002, [-7079.93505859375, -4746.2939453125, -6693.55419921875, -7167.05419921875, -8597.3740234375, -14309.1689453125, -7712.7939453125, -15424.205078125]
1792.7268871, [-7038.83203125, -4704.3798828125, -6652.64208984375, -7125.85498046875, -8554.8408203125, -14267.9697265625, -7671.40380859375, -15382.099609375]
