EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-99.957008,-139.117264,-134.736328,-139.653702,-135.183350,-133.574036,-122.845192,-133.395218,0.534424,0.738525,0.443359,0.762939,0.549316,1.007080,66.666672,34.000000,1.000000
-99.241753,-137.776154,-133.216400,-138.223190,-133.842255,-132.054108,-121.682899,-132.054108,0.533936,0.739014,0.441162,0.823975,0.457764,1.037598,66.666672,35.000000,1.000000
-98.705307,-136.435059,-131.964706,-136.792679,-132.679962,-130.802414,-120.788834,-130.713013,0.532959,0.737793,0.439209,0.793457,0.396728,1.220703,66.666672,36.000000,1.000000
-98.168869,-135.362167,-130.713013,-135.630386,-131.338852,-129.729538,-120.162987,-129.550720,0.533447,0.737305,0.442871,0.762939,0.457764,1.190185,66.666672,37.000000,1.000000
-97.990051,-133.842255,-129.550720,-134.199875,-130.176559,-128.299026,-119.090103,-128.477829,0.535889,0.737305,0.444580,0.671387,0.488281,1.129150,66.666672,38.000000,1.000000
-97.364204,-132.679962,-128.388428,-132.948181,-128.835464,-127.315544,-118.464249,-127.315544,0.536621,0.737549,0.445068,0.762939,0.488281,1.159668,66.666672,39.000000,1.000000
-96.917168,-131.338852,-127.583763,-131.607071,-127.583763,-126.242661,-117.748993,-126.242661,0.535156,0.736816,0.443848,0.701904,0.488281,1.129150,66.666672,40.000000,1.000000
-97.095985,-130.623596,-126.689697,-130.623596,-127.047325,-125.348587,-116.854927,-125.437996,0.535156,0.737061,0.446289,0.701904,0.488281,1.037598,66.666672,41.000000,1.000000
-96.738358,-129.729538,-125.437996,-129.729538,-126.242661,-124.365112,-116.318481,-124.275703,0.535645,0.736084,0.444580,0.671387,0.488281,1.098633,66.666672,42.000000,1.000000
-96.023102,-128.656647,-124.454521,-128.656647,-125.080368,-123.560448,-115.960854,-123.471039,0.533936,0.735840,0.444336,0.579834,0.457764,1.068115,66.666672,43.000000,1.000000
-96.023102,-127.762581,-123.918076,-127.762581,-124.007484,-122.845192,-115.513824,-122.666382,0.534668,0.734619,0.441895,0.671387,0.488281,0.976562,66.666672,44.000000,1.000000
-95.397247,-126.689697,-123.292229,-127.047325,-123.471039,-122.129936,-114.798569,-121.951126,0.535645,0.735107,0.444824,0.732422,0.549316,1.037598,66.666672,45.000000,1.000000
-95.307846,-125.974442,-122.398155,-126.242661,-122.755783,-121.325272,-114.262123,-121.057053,0.533936,0.733398,0.445068,0.701904,0.488281,1.159668,66.666672,46.000000,1.000000
-95.307846,-125.348587,-121.504089,-125.348587,-122.040527,-120.520615,-113.904495,-120.788834,0.532959,0.734375,0.445557,0.762939,0.518799,1.037598,66.666672,47.000000,1.000000
-94.503181,-124.722740,-121.146461,-124.812149,-121.414680,-119.805359,-113.546867,-119.805359,0.536133,0.735107,0.447510,0.701904,0.457764,1.098633,66.666672,48.000000,1.000000
-94.503181,-124.186295,-120.341797,-124.007484,-120.878242,-119.268913,-113.099831,-119.090103,0.536865,0.735352,0.445068,0.793457,0.427246,1.037598,66.666672,49.000000,1.000000
-94.234962,-123.739265,-119.894760,-123.560448,-120.162987,-118.553658,-112.652794,-118.643066,0.536621,0.735596,0.447021,0.823975,0.366211,1.129150,66.666672,50.000000,1.000000
-93.966736,-122.845192,-119.268913,-123.113411,-119.537132,-117.927811,-112.384575,-118.106621,0.535645,0.735596,0.449463,0.823975,0.457764,1.007080,66.666672,51.000000,1.000000
-93.966736,-122.219345,-118.911285,-122.398155,-119.090103,-117.659592,-112.116356,-117.748993,0.537842,0.738037,0.446289,0.823975,0.518799,1.037598,66.666672,52.000000,1.000000
-93.787926,-121.504089,-118.732475,-121.861717,-118.464249,-117.212555,-111.848137,-117.123146,0.536621,0.734863,0.445312,0.762939,0.518799,1.129150,66.666672,53.000000,1.000000
-93.787926,-121.504089,-118.017220,-121.593498,-117.927811,-116.676109,-111.490509,-116.407890,0.536865,0.735596,0.446045,0.701904,0.518799,1.037598,66.666672,54.000000,1.000000
-93.609108,-120.967644,-117.480774,-121.325272,-117.838402,-116.318481,-111.222282,-116.139671,0.537354,0.733887,0.444824,0.671387,0.427246,0.946045,66.666672,55.000000,1.000000
-93.340889,-120.431206,-117.123146,-120.788834,-117.659592,-115.960854,-110.954063,-115.871452,0.537354,0.734131,0.445801,0.701904,0.427246,1.007080,66.666672,56.000000,1.000000
-92.893852,-119.894760,-116.765518,-120.162987,-116.944336,-115.424416,-110.507027,-115.692635,0.535889,0.735107,0.445312,0.732422,0.457764,1.037598,66.666672,57.000000,1.000000
-92.893852,-119.805359,-116.318481,-119.805359,-116.854927,-115.335007,-110.328217,-115.066788,0.534424,0.736572,0.442871,0.732422,0.488281,0.976562,66.666672,58.000000,1.000000
-92.715042,-119.715950,-115.960854,-119.447731,-116.318481,-115.066788,-110.328217,-114.798569,0.532959,0.736328,0.443115,0.793457,0.396728,1.007080,66.666672,59.000000,1.000000
-92.893852,-119.268913,-115.603226,-119.090103,-115.960854,-114.619751,-110.059998,-114.351532,0.534180,0.736816,0.445312,0.762939,0.457764,1.007080,66.666672,60.000000,1.000000
-92.715042,-118.643066,-115.424416,-118.821877,-115.513824,-114.351532,-109.970589,-114.172714,0.535400,0.738525,0.441162,0.762939,0.457764,1.037598,66.666672,61.000000,1.000000
-92.446823,-118.374847,-115.066788,-118.553658,-115.245598,-113.904495,-109.702370,-114.083305,0.534180,0.739990,0.441406,0.823975,0.488281,1.159668,66.666672,62.000000,1.000000
-92.178596,-117.838402,-114.798569,-118.196030,-114.977379,-113.725677,-109.344742,-113.636276,0.534180,0.737793,0.442627,0.762939,0.396728,1.037598,66.666672,63.000000,1.000000
-92.268005,-117.480774,-114.619751,-118.017220,-114.351532,-113.099831,-109.255333,-113.099831,0.534180,0.739990,0.438477,0.823975,0.396728,1.037598,66.666672,64.000000,1.000000
-92.089195,-117.212555,-114.262123,-117.480774,-114.172714,-112.831612,-109.165924,-112.921021,0.533203,0.740234,0.439697,0.793457,0.427246,1.068115,66.666672,65.000000,1.000000
-91.999786,-117.123146,-113.904495,-117.391365,-114.172714,-112.742203,-108.629486,-112.921021,0.533936,0.740967,0.439453,0.701904,0.457764,0.976562,66.666672,66.000000,1.000000
-91.910378,-116.854927,-113.815086,-117.123146,-114.083305,-112.563393,-108.540077,-112.473984,0.532959,0.741943,0.440186,0.732422,0.457764,0.946045,66.666672,67.000000,1.000000
-91.910378,-116.765518,-113.636276,-116.586708,-113.725677,-112.295166,-108.540077,-112.384575,0.532471,0.739014,0.439209,0.823975,0.427246,1.098633,66.666672,68.000000,1.000000
-91.910378,-116.407890,-113.368050,-116.318481,-113.278648,-112.116356,-108.361259,-112.295166,0.533447,0.741211,0.439941,0.793457,0.427246,1.190185,66.666672,69.000000,1.000000
-91.820969,-116.139671,-113.278648,-116.497299,-113.189240,-112.026947,-108.271858,-112.116356,0.532715,0.741455,0.440186,0.701904,0.488281,1.251221,66.666672,70.000000,1.000000
