label,counter_start,duration
idle,475,10.0
left,2950,5.0
rest,4225,2.0
right,4725,5.0
rest,5975,2.0
right,6475,5.0
rest,7700,2.0
left,8200,5.0
rest,9450,2.0
left,9925,5.0
rest,11175,2.0
right,11675,5.0
rest,12900,2.0
left,13400,5.0
rest,14650,2.0
right,15150,5.0
rest,16375,2.0
right,16875,5.0
rest,18125,2.0
left,18600,5.0
rest,19850,2.0
