EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-112228.468750,379226.500000,5311.758301,85852.968750,374829.125000,-8124.680664,261296.906250,-326050.625000,0.535889,0.724609,0.444336,0.000000,0.000000,0.000000,60.000000,1.000000,1.000000
-178202.156250,194274.125000,2434.104980,16428.623047,296453.437500,-23250.912109,153976.078125,-69333.414062,0.545654,0.727051,0.446045,0.000000,0.000000,0.000000,60.000000,2.000000,1.000000
-25289.300781,101612.289062,-1457.333862,11572.213867,147178.562500,-25295.828125,116528.945312,-147192.328125,0.549316,0.728271,0.443604,0.000000,0.000000,0.000000,60.000000,3.000000,1.000000
-9776.653320,70562.585938,-2982.080566,10023.774414,49717.167969,-23534.242188,67064.890625,-53157.906250,0.550293,0.728760,0.442383,0.000000,0.000000,0.000000,60.000000,4.000000,1.000000
-14641.913086,31884.138672,-1265.913452,8323.342773,23237.679688,-14197.739258,26322.310547,-12959.899414,0.550781,0.727783,0.443115,0.640869,-0.488281,0.274658,60.000000,5.000000,1.000000
1544.684448,-33190.910156,3412.038574,6178.290527,4070.163330,2873.808594,4200.429199,2765.268555,0.549805,0.727783,0.442383,6.286621,-3.997802,4.547119,60.000000,6.000000,1.000000
2782.434570,-55838.414062,3382.802490,7052.780273,2664.417480,6515.712402,2035.439331,5802.423828,0.549561,0.728271,0.441650,2.716064,-0.976562,2.105713,60.000000,7.000000,1.000000
2804.428711,-10960.938477,3443.957031,6212.444336,5457.938477,3747.404297,1961.946777,3293.485107,0.549316,0.727539,0.438965,1.373291,0.000000,1.464844,60.000000,8.000000,1.000000
2715.647705,2946.049561,2905.101074,3548.563232,3651.202393,2654.761475,2305.001465,2686.053955,0.549805,0.728516,0.438721,0.915527,0.366211,1.281738,60.000000,9.000000,1.000000
2876.490723,3128.886719,3030.628418,3361.255371,2933.979492,3004.879150,2614.528320,2925.932861,0.548584,0.727295,0.439453,0.823975,0.335693,1.281738,60.000000,10.000000,1.000000
2904.207031,3141.314209,3051.728516,3314.495605,2916.098145,3004.342773,2658.874268,2899.557861,0.549805,0.725586,0.442627,0.732422,0.427246,1.251221,60.000000,11.000000,1.000000
2833.486084,3020.078369,3008.813232,3202.021729,2778.590088,2842.605469,2696.604004,2799.332520,0.547852,0.725830,0.441895,0.701904,0.427246,1.129150,60.000000,12.000000,1.000000
2863.884521,2957.404053,3206.849609,3301.710449,2862.900879,2885.878662,2897.233154,2958.030029,0.549805,0.728027,0.439941,0.762939,0.457764,1.129150,60.000000,13.000000,1.000000
3095.448486,3418.744141,3243.774658,3628.761230,3102.958740,3191.650391,3154.188965,3146.768066,0.547363,0.729492,0.441895,0.762939,0.457764,1.037598,60.000000,14.000000,1.000000
3289.372314,3502.160889,3468.275635,3548.473633,3347.129150,3361.791992,3454.596436,3399.164062,0.548096,0.728027,0.445312,0.701904,0.396728,0.976562,60.000000,15.000000,1.000000
3513.515625,3522.903320,3559.202637,3530.234619,3528.088867,3508.151123,3465.235840,3540.605957,0.549316,0.729004,0.441895,0.732422,0.457764,0.915527,60.000000,16.000000,1.000000
3550.261963,3564.388184,3580.302490,3580.839111,3570.736084,3564.656494,3540.605957,3567.785645,0.550781,0.728516,0.443359,0.762939,0.427246,1.007080,60.000000,17.000000,1.000000
3574.312256,3584.594238,3596.932373,3610.522217,3573.954590,3576.547607,3571.004150,3583.342529,0.550537,0.730469,0.442383,0.762939,0.366211,1.098633,60.000000,18.000000,1.000000
3580.123779,3590.494873,3606.498779,3618.836914,3578.246338,3580.660156,3586.829346,3594.071289,0.549072,0.728760,0.441406,0.823975,0.396728,1.190185,60.000000,19.000000,1.000000
3583.342529,3592.372559,3611.058594,3620.982666,3579.587402,3582.448486,3598.809814,3599.256836,0.548340,0.727295,0.441895,0.732422,0.457764,1.159668,60.000000,20.000000,1.000000
3586.203369,3592.998291,3611.952637,3620.625244,3580.839111,3584.057617,3604.621338,3602.564941,0.550049,0.729248,0.439453,0.701904,0.427246,1.190185,60.000000,21.000000,1.000000
3589.332764,3594.786621,3613.383301,3618.658203,3582.358887,3586.561035,3605.604736,3605.426025,0.550049,0.728271,0.443115,0.793457,0.366211,1.098633,60.000000,22.000000,1.000000
3592.908936,3597.111084,3614.813721,3617.585205,3585.577637,3590.584473,3606.856445,3608.018799,0.550293,0.728760,0.442871,0.762939,0.457764,1.098633,60.000000,23.000000,1.000000
3597.111084,3599.078125,3616.244141,3617.495850,3588.081055,3593.892578,3606.767090,3608.823486,0.550537,0.728271,0.437500,0.701904,0.396728,1.068115,60.000000,24.000000,1.000000
3600.329834,3602.028564,3617.495850,3618.389893,3591.210205,3597.111084,3606.498779,3611.147949,0.550781,0.728271,0.440918,0.671387,0.457764,1.098633,60.000000,25.000000,1.000000
