frame,duck_id,x_world,y_world
57,0,2.1439,1.4125
57,1,1.4009,1.5625
58,0,1.3850,1.5750
58,1,2.1333,1.4375
59,0,1.3638,1.5813
59,1,2.1279,1.4625
60,0,2.1173,1.4813
60,1,1.3426,1.5750
61,0,2.1173,1.5125
61,1,1.3213,1.5938
61,2,1.4540,1.7188
62,0,2.1226,1.5375
62,1,1.3107,1.6187
62,2,1.8945,1.5813
63,0,2.1173,1.5688
63,1,1.8945,1.6125
63,2,1.3054,1.6312
64,0,2.1333,1.6000
64,1,1.8998,1.6500
65,0,2.1545,1.6312
65,1,1.9051,1.6625
66,0,2.1598,1.6562
66,1,1.9051,1.6875
67,0,2.1704,1.6688
67,1,1.9051,1.7062
68,0,2.1810,1.6875
68,1,1.9104,1.7188
69,0,2.2075,1.7125
69,1,1.9157,1.7375
70,0,1.9263,1.7438
70,1,2.2341,1.7250
71,0,1.9369,1.7500
71,1,2.2659,1.7375
72,0,1.9634,1.7438
72,1,2.2925,1.7313
73,0,1.9953,1.7375
73,1,2.3243,1.7313
74,0,2.0218,1.7188
74,1,2.3561,1.7250
75,0,2.0483,1.7062
75,1,2.3827,1.7250
76,0,2.4039,1.7250
76,1,2.0643,1.7000
77,0,2.4251,1.7125
77,1,2.0908,1.6938
78,0,2.1226,1.6812
78,1,2.4517,1.7000
79,0,2.1545,1.6688
79,1,2.4782,1.6875
80,0,2.1757,1.6500
80,1,2.4994,1.6812
81,0,2.1969,1.6375
81,1,2.5153,1.6625
82,0,2.2075,1.6250
82,1,2.5312,1.6437
83,0,2.2129,1.6000
83,1,2.5366,1.6187
84,0,2.2235,1.5750
84,1,2.5366,1.5938
84,2,1.8308,1.7500
85,0,2.2235,1.5500
85,1,2.5366,1.5813
85,2,1.8308,1.7375
86,0,2.2288,1.5313
86,1,2.5312,1.5625
86,2,1.8255,1.7188
87,0,2.2394,1.5187
87,1,1.8467,1.7125
87,2,2.5312,1.5500
88,0,1.8520,1.7000
88,1,2.5312,1.5375
88,2,2.2500,1.5063
89,0,2.2553,1.4875
89,1,1.8467,1.6938
89,2,2.5259,1.5313
90,0,2.2500,1.4813
90,1,1.8414,1.6812
90,2,2.5100,1.5313
91,0,1.8414,1.6750
91,1,2.2288,1.4875
91,2,2.4941,1.5313
92,0,1.8414,1.6750
92,1,2.2235,1.4937
92,2,2.4835,1.5375
93,0,1.8573,1.6812
93,1,2.2235,1.4937
93,2,2.4835,1.5313
94,0,1.8785,1.6750
94,1,2.2394,1.4875
94,2,2.4835,1.5250
95,0,1.9157,1.6500
95,1,2.2500,1.4750
95,2,2.4941,1.5187
96,0,2.2659,1.4688
96,1,1.9475,1.6437
96,2,2.5100,1.5187
97,0,1.9794,1.6312
97,1,2.2818,1.4500
97,2,2.5206,1.5125
98,0,2.0218,1.6000
98,1,2.3084,1.4437
98,2,2.5366,1.5063
99,0,2.0643,1.5750
99,1,2.3349,1.4437
100,0,2.1014,1.5750
100,1,2.3614,1.4437
101,0,2.1279,1.5813
101,1,2.3827,1.4500
101,2,2.6002,1.5063
102,0,2.1651,1.5750
102,1,2.3986,1.4437
102,2,2.6268,1.5125
103,0,2.1916,1.5688
103,1,2.4039,1.4312
103,2,2.6321,1.5187
104,0,2.4039,1.4187
104,1,2.1916,1.5625
104,2,2.6268,1.5187
105,0,2.3986,1.4062
105,1,2.1916,1.5563
105,2,2.6108,1.5250
105,3,1.5654,1.7313
106,0,2.3827,1.4000
106,1,2.1863,1.5500
106,2,2.6055,1.5313
107,0,2.3614,1.4000
107,1,2.5949,1.5375
107,2,2.1757,1.5500
107,3,1.5389,1.7313
108,0,2.5843,1.5313
108,1,2.3349,1.4062
108,2,2.1492,1.5500
108,3,1.5230,1.7375
109,0,1.4965,1.7438
109,1,2.3137,1.4000
