frame,duck_id,x_world,y_world
74,2,1.4116,1.7500
75,0,2.0483,1.7125
75,1,2.3774,1.7375
76,0,2.0749,1.7062
76,1,2.4039,1.7188
77,0,2.0961,1.7000
77,1,2.4251,1.7125
78,0,2.1333,1.6812
78,1,2.4517,1.7000
78,2,2.1439,1.6938
79,0,2.1545,1.6750
79,1,2.4729,1.6938
80,0,2.1863,1.6562
80,1,2.4835,1.6750
80,2,2.1969,1.6688
81,0,2.2075,1.6437
81,1,2.5153,1.6688
81,2,1.8361,1.8187
82,0,2.2022,1.6312
82,1,2.5259,1.6437
82,2,1.8414,1.7875
83,0,2.2075,1.6125
83,1,2.5366,1.6312
83,2,1.8414,1.7750
84,0,2.5366,1.6000
84,1,2.2235,1.5813
84,2,1.8308,1.7688
85,0,1.8255,1.7438
85,1,2.2182,1.5625
85,2,2.5312,1.5813
86,0,1.8308,1.7188
86,1,2.2235,1.5438
86,2,2.5312,1.5688
86,3,2.5419,1.5750
87,0,1.8308,1.7188
87,1,2.5312,1.5500
87,2,2.2394,1.5187
88,0,1.8520,1.7125
88,1,2.2500,1.5125
88,2,2.5312,1.5313
89,0,2.2553,1.5000
89,1,2.5206,1.5313
89,2,1.8308,1.7062
90,0,1.8361,1.6938
90,1,2.2553,1.4937
90,2,2.5153,1.5375
91,0,1.8361,1.6875
91,1,2.2394,1.5000
91,2,2.4994,1.5313
92,0,1.8361,1.6812
92,1,2.2288,1.4937
92,2,2.4835,1.5438
93,0,1.8520,1.6875
93,1,2.2288,1.5000
93,2,2.4835,1.5375
94,0,1.8785,1.6750
94,1,2.2394,1.4875
94,2,2.4782,1.5313
95,0,1.9210,1.6500
95,1,2.2500,1.4688
95,2,2.4835,1.5250
96,0,1.9422,1.6500
96,1,2.2712,1.4688
96,2,2.4888,1.5250
97,0,1.9794,1.6375
97,1,2.2818,1.4563
97,2,2.5047,1.5125
98,0,2.0271,1.6187
98,1,2.3137,1.4500
98,2,2.5206,1.5000
99,0,2.0590,1.5813
99,1,2.3721,1.4500
99,2,2.5525,1.5000
99,3,2.3402,1.4437
100,0,2.1014,1.5875
100,1,2.3667,1.4563
101,0,2.1279,1.5813
102,0,2.1598,1.5813
103,0,2.1757,1.5750
103,1,2.4145,1.4437
103,2,1.5495,1.7375
103,3,2.6162,1.5187
104,0,2.1810,1.5750
104,1,2.6215,1.5313
104,2,2.4198,1.4312
104,3,1.5601,1.7375
105,0,2.1810,1.5688
105,1,2.4198,1.4187
105,2,1.5708,1.7563
105,3,2.6215,1.5313
106,0,2.1651,1.5688
106,1,1.5601,1.7438
106,2,2.3880,1.4250
106,3,2.6055,1.5313
107,0,2.1651,1.5688
107,1,2.3827,1.4250
107,2,1.5495,1.7500
107,3,2.5949,1.5375
107,4,2.3880,1.4375
108,0,1.5230,1.7563
108,1,2.3402,1.4062
108,2,2.5896,1.5313
108,3,2.1492,1.5688
109,0,1.4912,1.7625
109,1,2.5684,1.5375
109,2,2.3243,1.4187
109,3,2.1226,1.5688
109,4,2.3349,1.4250
110,0,1.4593,1.7688
110,1,2.2925,1.4000
110,2,2.5472,1.5375
110,3,2.0961,1.5688
111,0,2.5312,1.5438
111,1,1.4275,1.7625
111,2,2.2659,1.4000
111,3,2.0802,1.5688
111,4,2.2765,1.4125
112,0,2.5206,1.5563
112,1,1.4116,1.7438
112,2,2.2500,1.3875
112,3,2.0643,1.5563
113,0,1.3956,1.7313
113,1,2.5206,1.5500
113,2,2.2235,1.3813
113,3,2.0483,1.5375
114,0,2.5259,1.5438
114,1,1.3850,1.7125
114,2,2.2341,1.3562
114,3,2.2129,1.3438
114,4,2.0696,1.5187
115,0,2.5312,1.5438
115,1,1.3850,1.7188
115,2,2.2075,1.3500
116,0,2.5366,1.5375
116,1,1.3797,1.7188
116,2,2.1969,1.3438
116,3,2.2129,1.3562
117,0,1.3797,1.7188
117,1,2.5419,1.5187
117,2,2.1863,1.3438
118,0,1.3797,1.7125
118,1,2.5419,1.5125
118,2,2.1810,1.3438
119,0,1.3797,1.7125
119,1,2.5578,1.5187
119,2,2.1863,1.3500
119,3,2.1598,1.3938
120,0,1.3797,1.7062
120,1,2.5843,1.5313
120,2,2.2129,1.3438
121,0,1.3850,1.7062
121,1,2.5896,1.5250
122,0,2.6055,1.5250
122,1,1.4009,1.6938
123,0,1.4116,1.6750
123,1,2.6321,1.5187
123,2,2.3137,1.3250
123,3,2.2818,1.4062
124,0,1.4328,1.6625
124,1,2.6480,1.5125
124,2,2.3243,1.3938
124,3,2.3508,1.3188
124,4,2.3137,1.4312
124,5,2.3243,1.4750
125,0,1.4540,1.6562
125,1,2.6745,1.5063
125,2,2.3774,1.3062
